inStock,categories/0/name,id,name,price,shortDescription,url,images/0/src,images/1/src,images/2/src,images/3/src,images/4/src,(empty)
true,1.5GB,26019,Realme 10 8gb 256gb,18199,"Display: 6.4&#8221;
Back Camera:50MP+2MP
Front Camera: 16MP
Processor: Mediatek MT8781 Helio G99 (6nm)
Warranty: 1-year
Color(s): White and Blue
Battery : 5000mAh with 33w fast charger",https://avechi.co.ke/product/realme-10-8gb-256gb/,https://avechi.co.ke/wp-content/uploads/2023/04/Realme-10-in-Kenya1.jpg,https://avechi.co.ke/wp-content/uploads/2023/04/Realme-10-clash-white.jpg,https://avechi.co.ke/wp-content/uploads/2023/04/realme-10-to-launch-in-india-soon-expected-price-and-specifications.jpg,https://avechi.co.ke/wp-content/uploads/2023/04/202302170132579039.jpg,(empty),
,10.8MP,18578,Google Pixel 7 5G 8GB 128GB,38499,"6.3&#8221; 8GB RAM 128GB ROM
4355mAh,1-year warranty
Fingerprint",https://avechi.co.ke/product/google-pixel-7-5g-8gb-128gb/,https://avechi.co.ke/wp-content/uploads/2022/10/H08V_560FF523-ADE4-4C88-A100-240F4C237C33_large1.jpg,https://avechi.co.ke/wp-content/uploads/2022/10/Google-Pixel-7.jpg,https://avechi.co.ke/wp-content/uploads/2022/10/Google-Pixel-7-snow-1.jpg,https://avechi.co.ke/wp-content/uploads/2022/10/google-pixel-7-back-1.jpg,(empty),
,,18592,Google Pixel 7 5G 8GB 256GB,47499,"6.3&#8221; 8GB RAM 256GB ROM
4355mAh,1-year warranty
Fingerprint",https://avechi.co.ke/product/google-pixel-7-5g-8gb-256gb/,https://avechi.co.ke/wp-content/uploads/2022/10/H08V_560FF523-ADE4-4C88-A100-240F4C237C33_large1-1.jpg,https://avechi.co.ke/wp-content/uploads/2022/10/Google-Pixel-7.jpg,https://avechi.co.ke/wp-content/uploads/2022/10/Google-Pixel-7-snow-1.jpg,https://avechi.co.ke/wp-content/uploads/2022/10/google-pixel-7-back-1.jpg,(empty),
,,18594,Google Pixel 7 Pro 5G 12GB 128GB,45499,"6.7&#8221; 12GB RAM 128GB ROM
5000mAh,1-year warranty
Fingerprint",https://avechi.co.ke/product/google-pixel-7-pro-5g-12gb-128gb/,https://avechi.co.ke/wp-content/uploads/2022/10/Google-Pixel-7-Pro_featured-image-packshot-review-2.jpg,https://avechi.co.ke/wp-content/uploads/2022/10/google-pixel-7-pro-5g-1.jpg,https://avechi.co.ke/wp-content/uploads/2022/10/Google-Pixel-7-Pro-1-1.jpg,https://avechi.co.ke/wp-content/uploads/2022/10/Google-Pixel-7-Pro.jpg,(empty),
,,18638,Google Pixel 7 Pro 5G 12GB 256GB,52999,"6.7&#8221; 12GB RAM 256GB ROM
5000mAh,1-year warranty
Fingerprint",https://avechi.co.ke/product/google-pixel-7-pro-5g-12gb-256gb/,https://avechi.co.ke/wp-content/uploads/2022/10/Google-Pixel-7-Pro_featured-image-packshot-review-1.jpg,https://avechi.co.ke/wp-content/uploads/2022/10/google-pixel-7-pro-5g-1.jpg,https://avechi.co.ke/wp-content/uploads/2022/10/Google-Pixel-7-Pro-1-1.jpg,https://avechi.co.ke/wp-content/uploads/2022/10/Google-Pixel-7-Pro.jpg,(empty),
,,18909,Google Pixel 7 Pro 5G 12GB 512GB,57699,"6.7&#8221; 12GB RAM 512GB ROM
5000mAh,1-year warranty
Fingerprint",https://avechi.co.ke/product/google-pixel-7-pro-5g-12gb-512gb/,https://avechi.co.ke/wp-content/uploads/2022/10/Google-Pixel-7-Pro_featured-image-packshot-review.jpg,https://avechi.co.ke/wp-content/uploads/2022/10/google-pixel-7-pro-5g-1.jpg,https://avechi.co.ke/wp-content/uploads/2022/10/Google-Pixel-7-Pro-1-1.jpg,https://avechi.co.ke/wp-content/uploads/2022/10/Google-Pixel-7-Pro.jpg,(empty),
,,19970,Huawei P50 Pocket 5G 8GB 256GB,106699,"6.9&#8221; 8GB RAM 256GB ROM
4000mah,1-year warranty",https://avechi.co.ke/product/huawei-p50-pocket-8gb-256gb/,https://avechi.co.ke/wp-content/uploads/2022/11/huawei-p50-pocket-Phonetronics-Kenya15-09-2022-1663257879.jpg,https://avechi.co.ke/wp-content/uploads/2022/11/Huawei-P50-Pocket-5G.jpg,https://avechi.co.ke/wp-content/uploads/2022/11/Huawei-P50-Pocket-5G-8gb.jpg,https://avechi.co.ke/wp-content/uploads/2022/11/Huawei-P50-Pocket-5G-gold-1.jpg,(empty),
,,32189,Google Pixel 8 5G 8GB 128GB,53999,"Display : 6.2&#8221;
Back Camera :50mp +2mp
Front Camera : 10.5Mp
Processor :Google Tensor G3 (4 nm)
Warranty : 1-year
Color(s) : Obsidian, Hazel, and Rose
Battery : 4575mAh",https://avechi.co.ke/product/google-pixel-8-5g-8gb-128gb/,https://avechi.co.ke/wp-content/uploads/2024/01/Google-Pixel-8-a.jpg,https://avechi.co.ke/wp-content/uploads/2023/10/Google-Pixel-8-1695887972-0-0_1695921218080.jpg,https://avechi.co.ke/wp-content/uploads/2023/10/Google-Pixel-8-g-original-1.jpg,https://avechi.co.ke/wp-content/uploads/2023/10/Google-Pixel-8-1695887972-0-0_1695921218080-2.jpg,(empty),
,,32243,Google Pixel 8 Pro 5G 12GB 128GB,62999,"Display : 672&#8221;
Back Camera :50mp +48mp
Front Camera : 10.5Mp
Processor :Google Tensor G3 (4 nm)
Warranty : 1-year
Color(s) :  Obsidian, Porcelain, Bay
Battery : 5050mAh",https://avechi.co.ke/product/google-pixel-8-pro-5g-12gb-128gb/,https://avechi.co.ke/wp-content/uploads/2023/10/Google-Pixel-8-Pro1.jpg,https://avechi.co.ke/wp-content/uploads/2023/10/Google-Pixel-8-Pro-g-original.jpg,https://avechi.co.ke/wp-content/uploads/2023/10/Google-Pixel-8-Pro1-1.jpg,https://avechi.co.ke/wp-content/uploads/2023/10/Google-Pixel-8-Pro-g-original-1.jpg,(empty),
,,37246,Samsung Galaxy Z Fold 5 12GB 1TB,214999,"Display: 7.6&#8221;
Back Camera: 50MP + 10mp+12MP
Front Camera: 10MP+4MP
Processor: Qualcomm SM8550-AC Snapdragon 8 Gen 2 (4 nm)
Warranty: 1-year
Color(s): Icy Blue, Phantom Black, Cream, Gray, Blue
Battery: 4400mAh",https://avechi.co.ke/product/samsung-galaxy-z-fold-5-12gb-1tb/,https://avechi.co.ke/wp-content/uploads/2024/03/511452-111111111111.jpg,https://avechi.co.ke/wp-content/uploads/2024/03/511452-111111111111-1.jpg,(empty),(empty),(empty),
