ID,Name,Brand,Color,Variants,image_name,ImageName,ImageExt,ImageWsrv,Currency,Price,StockStatus,StockQuantity,Categories,Description,spec1,spec2,spec3,spec4,spec5,spec6,spec7,Image1,Image2,Image3
19807,Lenovo Idea Tab Plus - 12.1″ - 256GB+12GB - KB & S-pen,Lenovo,,,Lenovo-Idea-Tab-plus-with-Folio-Keyboard-Pen.webp,Lenovo-Idea-Tab-plus-with-Folio-Keyboard-Pen,webp,https://wsrv.nl/?url=https%3A%2F%2Fwww.avicomm.co.ke%2Fwp-content%2Fuploads%2F2026%2F03%2FLenovo-Idea-Tab-plus-with-Folio-Keyboard-Pen-768x768.webp&w=768&fit=contain&trim=10&output=png,KShs,66200,instock,,Tablet,"Lenovo Idea Tab Plus The Lenovo Idea Tab Plus 12GB/256GB with Folio Keyboard + Pen is a premium student and productivity powerhouse in Lenovo’s Idea Tab series, perfect for seamless note-taking, online classes, and multitasking with nationwide delivery . Boasting a expansive 12.1-inch 2.5K IPS touchscreen (2560 x 1600 resolution) with 90Hz refresh rate, up to 800 nits peak brightness, anti-glare matte finish, and 96% DCI-P3 color gamut for crisp, vibrant viewing in any light, it’s powered by the efficient MediaTek Dimensity 6400 octa-core processor (up to 2.5 GHz), 12GB LPDDR4X RAM, and 256GB UFS 2.2 storage (expandable up to 2TB via microSD) for lag-free performance in apps, light gaming, and AI tasks. The bundle includes the Lenovo Tab Pen Plus with 4096 pressure levels, tilt detection, palm rejection, and AAA battery for precise handwriting/sketching, plus the magnetic 3-point pogo-pin Folio Keyboard for instant laptop-mode typing without charging or Bluetooth—ideal for exams, research, or content creation. Enhanced by Android 15 with Lenovo AI Notes (rephrase, summarize, beat writer’s block), Circle to Search with Google, and up to 2 major OS upgrades, Lenovo Idea Tab Plus features a massive 10200mAh battery for 13+ hours of video/streaming, 45W fast charging, quad Dolby Atmos speakers, 13MP rear/8MP front cameras, side fingerprint reader, Wi-Fi 5/Bluetooth 5.2 (5G optional), and slim 6.3mm metal body at 530g in Luna Grey. Lenovo Idea Tab Plus Specifications: Large 12.1-inch 2.5K Display with High Refresh Rate - The Lenovo Idea Tab Plus features a generous 12.1-inch IPS touchscreen with 2560 by 1600 resolution, a smooth 90Hz refresh rate, up to 800 nits peak brightness, anti-glare matte finish, and wide 96 percent DCI-P3 colour gamut. This setup delivers sharp, vibrant, and comfortable visuals for extended reading, video lectures, content creation, or multitasking, while the anti-reflective coating and high brightness make it usable in various lighting conditions without excessive eye strain. Folio Keyboard and Lenovo Tab Pen Plus - Lenovo Idea Tab Plus comes with a magnetic 3-point pogo-pin Folio Keyboard that attaches instantly for laptop-style typing without Bluetooth pairing or separate charging, offering a comfortable layout and integrated pen holder. The included Lenovo Tab Pen Plus provides 4096 levels of pressure sensitivity, tilt detection, and palm rejection for precise handwriting, sketching, annotations, and digital note-taking, powered by a simple AAA battery for long-lasting, hassle-free use in apps or creative software. Strong Performance with Ample RAM and Storage - Powered by the MediaTek Dimensity 6400 octa-core processor clocked up to 2.5 GHz, 12GB LPDDR4X RAM, and 256GB UFS 2.2 storage, the Lenovo Idea Tab Plus handles demanding multitasking, smooth app switching, light gaming, video editing, and AI-enhanced tasks efficiently. Storage is expandable up to 2TB via microSD card, ensuring plenty of space for documents, media, lecture recordings, and projects without performance bottlenecks. AI-Powered Productivity Tools - Running Android 15, it integrates smart Lenovo AI Notes features that rephrase text, summarize long content, generate ideas to overcome writer’s block, and organize notes intelligently. Circle to Search with Google allows instant lookups by circling any on-screen element, streamlining research, studying, and quick information gathering while keeping the interface clean and focused on user productivity. Exceptional Battery Life and Immersive Audio - A massive 10200mAh battery supports up to 13 hours or more of video streaming, mixed usage, or all-day studying and note-taking, paired with 45W fast charging for quick top-ups. Quad speakers tuned with Dolby Atmos deliver rich, immersive sound for lectures, music, videos, or virtual meetings, while the slim 6.3mm metal body at 530g in Luna Grey remains portable and premium-feeling for daily carry.",,,,,,,,https://www.avicomm.co.ke/wp-content/uploads/2026/03/Lenovo-Idea-Tab-plus-with-Folio-Keyboard-Pen.webp,https://www.avicomm.co.ke/wp-content/uploads/2026/03/Lenovo-Idea-Tab-plus-with-Folio-Keyboard-Pen-768x768.webp,https://www.avicomm.co.ke/wp-content/uploads/2026/03/Lenovo-Idea-Tab-plus-with-Folio-Keyboard-Pen.webp
19802,Vivo V60 Lite - 6.77″ - 256GB+8GB,Vivo,"Black, Blue",,vIVO-v60-Lite-4G-a.jpg,vIVO-v60-Lite-4G-a,jpg,https://wsrv.nl/?url=https%3A%2F%2Fwww.avicomm.co.ke%2Fwp-content%2Fuploads%2F2026%2F03%2FvIVO-v60-Lite-4G-a-768x768.jpg&w=768&fit=contain&trim=10&output=png,KShs,36600,instock,,Smartphone,"Vivo V60 Lite The Vivo V60 Lite 4G features a sleek, slim profile at approximately 7.6 mm thickness and a weight of 194g. It boasts an IP65 rating for dust and water resistance. The display is a flat 6.77-inch AMOLED panel with a Full HD+ (1080 x 2392) resolution and a 120Hz refresh rate. This combination, along with HDR10+ support and a 94.2% screen-to-body ratio, delivers a vibrant, immersive viewing experience for both gaming and multimedia consumption. The phone also includes dual stereo speakers with a claimed 400% volume boost. Performance and Software Powering the V60 Lite 4G is the MediaTek Dimensity 7360-Turbo processor, built on a power-efficient 4nm process. This chipset offers a significant performance boost over the 4G variant, making it highly capable for a smooth daily user experience and elevated casual gaming. It is coupled with 8GB of LPDDR4X RAM and 256GB of UFS 3.1 storage for faster data transfer speeds. The phone runs on Android 15 with Funtouch OS 15, and Vivo promises a “5-Year Smooth Experience” through smart system optimization. Battery and Charging One of the key highlights is the substantial 6500mAh BlueVolt Battery. This large capacity is advertised to provide long endurance, capable of lasting over 27.5 hours of YouTube playback or around 12 hours of PUBG gaming. The device supports incredibly fast 90W FlashCharge, which can charge the massive battery from 1% to 100% in around 52 minutes. It also features Bypass Charging to reduce heat during plugged-in gaming sessions and is rated for a 5-year battery health lifespan. Camera Capabilities The Vivo V60 Lite 4G primary camera setup features a 50MP Sony IMX882 main sensor along with an 8MP 120° ultrawide camera on the rear. For selfies, there’s a 32MP front camera. Camera features are enhanced with AI tools like AI Aura Light Portrait, AI Four-Season Portrait, and AI Erase 3.0 for photo editing. The 5G variant supports 4K video recording on both the front and rear cameras.",,,,,,,,https://www.avicomm.co.ke/wp-content/uploads/2026/03/vIVO-v60-Lite-4G-a.jpg,https://www.avicomm.co.ke/wp-content/uploads/2026/03/vIVO-v60-Lite-4G-a-768x768.jpg,https://www.avicomm.co.ke/wp-content/uploads/2026/03/vIVO-v60-Lite-4G-a.jpg
19797,Vivo V60 Lite 5G - 6.77″ - 256GB+12GB,Vivo,"Black, Blue",,Vivo-V60-Lite-5G-a.webp,Vivo-V60-Lite-5G-a,webp,https://wsrv.nl/?url=https%3A%2F%2Fwww.avicomm.co.ke%2Fwp-content%2Fuploads%2F2026%2F03%2FVivo-V60-Lite-5G-a-768x768.webp&w=768&fit=contain&trim=10&output=png,KShs,45000,instock,,Smartphone,"Vivo V60 Lite 5G Vivo V60 Lite 5G is a feature-packed smartphone designed for users who demand performance, style, and longevity. Powered by the Mediatek Dimensity 7360 Turbo (4 nm) processor and paired with 8GB RAM + 256GB UFS 2.2 storage, it delivers seamless multitasking and ample space for apps, media, and productivity. Transitioning to visuals, the device boasts a 6.77-inch AMOLED display with a 120Hz refresh rate, offering ultra-smooth scrolling and vivid color reproduction. Whether you’re binge-watching or gaming, the 1080 × 2392 resolution ensures immersive clarity. On the camera front, the 50MP Sony IMX882 primary sensor and 8MP wide-angle lens capture sharp, detailed shots, while the 32MP front camera is perfect for high-quality selfies and video calls. Additionally, the phone supports 1080p video recording on both ends. Build Different What truly sets the V60 Lite 5G apart is its 6500mAh BlueVolt battery with 90W FlashCharge, giving you ultra-fast top-ups and all-day endurance. With IP65 water resistance and MIL-STD-810H compliance, it’s built to withstand everyday challenges. Running Android 15 with Funtouch OS 15, the V60 Lite 5G offers a refined, intuitive user experience with enhanced customization options. USPs Massive 6500mAh Battery + 90W FlashCharge: Delivers ultra-fast charging and multi-day endurance—perfect for power users and mobile creators. 6.77-inch AMOLED Display with 120Hz Refresh Rate: Offers vibrant visuals and buttery-smooth scrolling for immersive entertainment and gaming. Mediatek Dimensity 7360 Turbo (4 nm) + 12GB RAM + 512GB Storage: Ensures efficient performance, smooth multitasking, and ample space for apps and media. 50MP Sony IMX882 Main Camera + 32MP Selfie Camera: Captures crisp, detailed shots and high-quality selfies with advanced imaging capabilities. IP65 Water Resistance + MIL-STD-810H Durability: Built to withstand dust, splashes, and rugged conditions—ideal for everyday resilience. Android 15 + Funtouch OS 15: Delivers a refined, customizable user experience with the latest software enhancements. BlueVolt Battery Technology: Enhances battery safety, longevity, and thermal management for sustained performance.",Massive 6500mAh Battery + 90W FlashCharge: Delivers ultra-fast charging and multi-day endurance—perfect for power users and mobile creators.,6.77-inch AMOLED Display with 120Hz Refresh Rate: Offers vibrant visuals and buttery-smooth scrolling for immersive entertainment and gaming.,"Mediatek Dimensity 7360 Turbo (4 nm) + 12GB RAM + 512GB Storage: Ensures efficient performance, smooth multitasking, and ample space for apps and media.","50MP Sony IMX882 Main Camera + 32MP Selfie Camera: Captures crisp, detailed shots and high-quality selfies with advanced imaging capabilities.","IP65 Water Resistance + MIL-STD-810H Durability: Built to withstand dust, splashes, and rugged conditions—ideal for everyday resilience.","Android 15 + Funtouch OS 15: Delivers a refined, customizable user experience with the latest software enhancements.","BlueVolt Battery Technology: Enhances battery safety, longevity, and thermal management for sustained performance.",https://www.avicomm.co.ke/wp-content/uploads/2026/03/Vivo-V60-Lite-5G-a.webp,https://www.avicomm.co.ke/wp-content/uploads/2026/03/Vivo-V60-Lite-5G-a-768x768.webp,https://www.avicomm.co.ke/wp-content/uploads/2026/03/Vivo-V60-Lite-5G-a.webp
19792,Vivo Y31d - 6.75″ - 256GB+8GB,Vivo,"Gold, Grey",,Vivo-Y31d.webp,Vivo-Y31d,webp,https://wsrv.nl/?url=https%3A%2F%2Fwww.avicomm.co.ke%2Fwp-content%2Fuploads%2F2026%2F03%2FVivo-Y31d-768x768.webp&w=768&fit=contain&trim=10&output=png,KShs,31700,instock,,Smartphone,"Vivo Y31d The Vivo Y31d officially released in January 2026, the smartphone targets users who want a durable, affordable, and dependable device for everyday use. It measures 166.6 × 78.4 × 8.4 mm and weighs 219g, offering a solid in-hand feel. A major highlight is its IP68/IP69 dust- and water-resistance rating, which provides exceptional durability at this price point and sets it apart in the budget segment. The device runs on Android 16 with OriginOS 6 and is powered by the Qualcomm Snapdragon 6s 4G Gen 2 processor. It handles multitasking, social media, browsing, video streaming, and light gaming smoothly. With up to 8GB of RAM and 256GB of internal storage, the Vivo Y31d offers sufficient capacity and stable performance for everyday users seeking value. It features a 6.75-inch IPS display with 720 × 1570 resolution, 120Hz refresh rate, and up to 1250 nits peak brightness. The high refresh rate ensures smooth scrolling, while the brightness level supports comfortable outdoor visibility under direct sunlight. For photography, the phone includes a 50MP main camera with an auxiliary lens and an 8MP front camera. The setup captures clear photos in good lighting and supports 1080p video recording. Features such as PDAF, HDR, an LED flash, and panorama enhance image quality, making the Vivo Y31d a strong value in its price segment. The Vivo Y31d supports 4G connectivity, Bluetooth 5.1, and GPS, ensuring reliable everyday connectivity. Powering the device is a massive 7,200mAh battery that delivers more than a full day of typical use. It supports 44W fast charging, reverse wired charging, and bypass charging for added convenience.",,,,,,,,https://www.avicomm.co.ke/wp-content/uploads/2026/03/Vivo-Y31d.webp,https://www.avicomm.co.ke/wp-content/uploads/2026/03/Vivo-Y31d-768x768.webp,https://www.avicomm.co.ke/wp-content/uploads/2026/03/Vivo-Y31d.webp
19784,Vivo Y04e - 6.56″ - 64GB+4GB,Vivo,,,vivo-Y04e-price-in-Kenya.webp,vivo-Y04e-price-in-Kenya,webp,https://wsrv.nl/?url=https%3A%2F%2Fwww.avicomm.co.ke%2Fwp-content%2Fuploads%2F2026%2F03%2Fvivo-Y04e-price-in-Kenya-768x768.webp&w=768&fit=contain&trim=10&output=png,KShs,12300,instock,,Smartphone,"Vivo Y04e The Vivo Y04e is built for users who need a smartphone that simply works hard without breaking the bank, this device combines a massive, long-lasting battery, a silky-smooth display, and an elegant, durable build. Whether you are navigating a busy workday, streaming your favorite content, or capturing memories, the phone is engineered to keep up with your lifestyle. Available right now at Fancytech online shopping, securing your new device is completely hassle-free. Every purchase comes with a full 1-Year Manufacturer Warranty for absolute peace of mind. No matter where you are located in Kenya, enjoy fast, secure, and fully insured countrywide delivery straight to your doorstep.",,,,,,,,https://www.avicomm.co.ke/wp-content/uploads/2026/03/vivo-Y04e-price-in-Kenya.webp,https://www.avicomm.co.ke/wp-content/uploads/2026/03/vivo-Y04e-price-in-Kenya-768x768.webp,https://www.avicomm.co.ke/wp-content/uploads/2026/03/vivo-Y04e-price-in-Kenya.webp
19747,Samsung Galaxy S26 Ultra - 6.9″,Samsung,"Black, Blue, Violet, White","select-variation: 1TB + 16GB, 256GB+12GB, 512GB+12GB",037-galaxy-s26ultra-black-front-back-spen-scaled-e1772051458720.jpg,037-galaxy-s26ultra-black-front-back-spen-scaled-e1772051458720,jpg,https://wsrv.nl/?url=https%3A%2F%2Fwww.avicomm.co.ke%2Fwp-content%2Fuploads%2F2026%2F02%2F037-galaxy-s26ultra-black-front-back-spen-scaled-e1772051458720-768x768.jpg&w=768&fit=contain&trim=10&output=png,KShs,170999,instock,,Smartphones,"Samsung Galaxy S26 Ultra Samsung Galaxy S26 Ultra stands as Samsung’s most advanced smartphone in 2026, built for professionals, creators, and power users who demand performance, reliability, and longevity. Samsung uses a titanium grade 5 frame to improve durability while maintaining comfort in hand. At the same time, Gorilla Armor 2 protects the front, while Gorilla Glass Victus 2 secures the back. As a result, the device resists scratches and drops more effectively. The IP68 rating further protects against dust and water, which ensures reliability in everyday environments. Samsung equips the device with a 6.9-inch Dynamic LTPO AMOLED 2X display. Therefore, users experience sharp visuals, smooth motion, and excellent outdoor visibility. The 1440 x 3120 resolution ensures clarity, while the 120Hz adaptive refresh rate improves responsiveness and efficiency. In addition, the 2600-nit peak brightness ensures clear viewing even in direct sunlight. The Galaxy S26 Ultra runs on the Snapdragon 8 Elite Gen 5 processor built on a 3nm architecture. Consequently, users experience faster performance and improved efficiency. Android 16 with One UI 8.5 delivers a refined and productive interface. More importantly, Samsung guarantees up to seven major Android updates. The device supports up to 16GB of RAM and up to 1 TB of storage. Therefore, multitasking, gaming, and content creation remain smooth and unrestricted. The 200MP main camera captures highly detailed images, while the 50MP ultra-wide and 10MP telephoto cameras improve versatility and zoom performance. In addition, the device supports 4K and 8K video recording, which enables professional content creation. Galaxy AI further improves performance, camera processing, and overall efficiency. The 5000 mAh battery delivers reliable all-day use. At the same time, 60W fast charging, wireless charging, and reverse charging improve convenience. The device also supports 5G, Wi-Fi 7, Bluetooth 5.4, NFC, and dual SIM functionality. As a result, the Galaxy S26 Ultra delivers flagship performance, advanced photography, and long-term value for users in Kenya.","select-variation: 1TB + 16GB, 256GB+12GB, 512GB+12GB",,,,,,,https://www.avicomm.co.ke/wp-content/uploads/2026/02/037-galaxy-s26ultra-black-front-back-spen-scaled-e1772051458720.jpg,https://www.avicomm.co.ke/wp-content/uploads/2026/02/037-galaxy-s26ultra-black-front-back-spen-scaled-e1772051458720-768x768.jpg,https://www.avicomm.co.ke/wp-content/uploads/2026/02/037-galaxy-s26ultra-black-front-back-spen-scaled-e1772051458720.jpg
19706,Ecoflow E980 Portable Power Station,EcoFlow,,,EcoFlow-E980-001-300x300-1.webp,EcoFlow-E980-001-300x300-1,webp,https://wsrv.nl/?url=https%3A%2F%2Fwww.avicomm.co.ke%2Fwp-content%2Fuploads%2F2026%2F02%2FEcoFlow-E980-001-300x300-1.webp&w=768&fit=contain&trim=10&output=png,KShs,64800,instock,,,"Ecoflow E980 Portable Power Station ECOFLOW E980 Portable Power Station. Never let your adventures be cut short by a drained battery again. The ECOFLOW E980 Portable Power Station is your ultimate off-grid companion, delivering 980Wh of reliable power to keep your devices and appliances running wherever you go. Whether you’re camping, road-tripping, or preparing for emergencies, this high-capacity LiFePO4 power station ensures you stay powered up. With four AC outlets (500W, X-Boost 650W) and multiple USB-A and USB-C ports, you can charge laptops, smartphones, cameras, and even small kitchen appliances with ease. Fast Charging & Multiple Input Options Say goodbye to long waits for a full charge. The ECOFLOW E980 recharges from 0 to 100% in just 2 hours via AC power, so you can get back to your activities without delay. Prefer solar energy? With 500W solar input, you can harness the sun’s power and reach a full charge in under 3 hours—ideal for eco-conscious travelers and van-lifers. Car charging is also available, making it a great companion for extended road trips and overland adventures. However you choose to charge, the advanced LiFePO4 battery ensures durability, retaining 80% capacity even after 3,000 cycles. Compact, Lightweight, and Built to Last Weighing only 12kg and measuring 40x21x28cm, this power station is portable enough for any adventure yet rugged enough to withstand the elements. With a 5-year warranty, you can trust its reliability for years to come. The car power output, DC 5521, and multiple USB ports make it an all-in-one charging hub for any scenario. Whether you’re preparing for power outages, working remotely from anywhere, or setting up an off-grid lifestyle, the ECOFLOW E980 is your dependable energy source.",,,,,,,,https://www.avicomm.co.ke/wp-content/uploads/2026/02/EcoFlow-E980-001-300x300-1.webp,https://www.avicomm.co.ke/wp-content/uploads/2026/02/EcoFlow-E980-001-300x300-1.webp,https://www.avicomm.co.ke/wp-content/uploads/2026/02/ECOFLOWE980PortablePowerStation500W980Wh-400x400-1.webp
19700,Samsung Galaxy Tab A11+ - Gray,Samsung,,"select-variation: 128GB+6GB, 256GB+8GB",Samsung-Galaxy-Tab-A11-1.webp,Samsung-Galaxy-Tab-A11-1,webp,https://wsrv.nl/?url=https%3A%2F%2Fwww.avicomm.co.ke%2Fwp-content%2Fuploads%2F2026%2F02%2FSamsung-Galaxy-Tab-A11-1-768x768.webp&w=768&fit=contain&trim=10&output=png,KShs,38400,instock,,Tablets,"Samsung Galaxy Tab A11+ Samsung Galaxy Tab A11+ is a versatile Android tablet that balances everyday performance with solid multimedia capabilities, making it a strong choice for students, professionals, and casual creators alike. At its core, the Tab A11+ offers a large 11-inch screen with a smooth 90 Hz refresh rate that enhances scrolling, video playback, and light gaming without overwhelming casual users. The display feels spacious for document editing, video calls, streaming, and split-screen multitasking, yet its slim profile and moderate weight help keep it comfortable in hand throughout long sessions. Under the hood, Samsung equips this tablet with a capable MediaTek Dimensity-series chipset, paired with either 6 GB or 8 GB of RAM, and up to 256 GB of internal storage, which you can expand via a microSD card for extra space. This configuration allows typical daily apps, social media, web browsing, and productivity tools like document editors to run smoothly, and it handles light gaming reasonably well. The tablet boots Android 16 with Samsung’s One UI 8 interface, offering a refined software experience and access to valuable features like split-screen apps and Samsung’s ecosystem tools. The camera setup is straightforward with an 8 MP rear shooter and a 5 MP front camera, enough for video conferencing and casual snapshots. While not designed to compete with premium smartphone cameras, it covers the basics for online calls and scanning documents. A large 7,040 mAh battery keeps the device running through long work or entertainment days, and support for 25 W wired charging helps top up quickly when needed. Connectivity options include Wi-Fi and optional 5G on supported models, USB-C for data and power, Bluetooth, and a 3.5 mm headphone jack, keeping you connected across networks and accessories. The build quality feels solid, with a minimalist design in subtle colors, suited for classrooms, offices, or family use. Overall, the Galaxy Tab A11+ exists to bridge everyday productivity with multimedia enjoyment without demanding a premium price.","select-variation: 128GB+6GB, 256GB+8GB",,,,,,,https://www.avicomm.co.ke/wp-content/uploads/2026/02/Samsung-Galaxy-Tab-A11-1.webp,https://www.avicomm.co.ke/wp-content/uploads/2026/02/Samsung-Galaxy-Tab-A11-1-768x768.webp,https://www.avicomm.co.ke/wp-content/uploads/2026/02/Samsung-Galaxy-Tab-A11-1.webp
19695,Meta Quest 3S VR Headset,Meta,,"Internal Memory: 128GB, 256GB",meta_quest_sk_1000209_01_3s_advanced_all_in_one_vr_1727373988_18476692.jpg,meta_quest_sk_1000209_01_3s_advanced_all_in_one_vr_1727373988_18476692,jpg,https://wsrv.nl/?url=https%3A%2F%2Fwww.avicomm.co.ke%2Fwp-content%2Fuploads%2F2026%2F02%2Fmeta_quest_sk_1000209_01_3s_advanced_all_in_one_vr_1727373988_18476692-768x768.jpg&w=768&fit=contain&trim=10&output=png,KShs,42000,instock,,,"Meta Quest 3S VR Headset Meta Quest 3S VR Headset key features include; Engage like never before with precision controllers that act as a natural extension of your hands. Improved tracking capabilities mean you can also go controller-free Meta Quest 3S features the same mixed reality experience as Quest 3, with 4.5X the resolution and color compared to Quest 2 Keep your experience smooth and seamless, even as high-speed action unfolds around you with a super-fast processor and high-resolution display. Experience total immersion with 3D positional audio, hand tracking and haptic feedback, working together to make virtual worlds feel real. Travel universes in blockbuster fantasies, scare yourself witless in horror adventures or collaborate with colleagues in innovative workspaces. Come together in incredible social spaces and multiplayer arenas as you take in live events with friends and family, find your new workout crew or join quests with fellow adventurers. Be truly free to roam in VR With a wireless headset, intuitive controls, a built-in battery, easy setup and no PC or console needed* Play without worries as an easy-to-use Guardian boundary lets you set your designated play space and alerts you if you move outside it.",Engage like never before with precision controllers that act as a natural extension of your hands. Improved tracking capabilities mean you can also go controller-free,"Meta Quest 3S features the same mixed reality experience as Quest 3, with 4.5X the resolution and color compared to Quest 2","Keep your experience smooth and seamless, even as high-speed action unfolds around you with a super-fast processor and high-resolution display.","Experience total immersion with 3D positional audio, hand tracking and haptic feedback, working together to make virtual worlds feel real.","Travel universes in blockbuster fantasies, scare yourself witless in horror adventures or collaborate with colleagues in innovative workspaces.","Come together in incredible social spaces and multiplayer arenas as you take in live events with friends and family, find your new workout crew or join quests with fellow adventurers.","Be truly free to roam in VR With a wireless headset, intuitive controls, a built-in battery, easy setup and no PC or console needed*",https://www.avicomm.co.ke/wp-content/uploads/2026/02/meta_quest_sk_1000209_01_3s_advanced_all_in_one_vr_1727373988_18476692.jpg,https://www.avicomm.co.ke/wp-content/uploads/2026/02/meta_quest_sk_1000209_01_3s_advanced_all_in_one_vr_1727373988_18476692-768x768.jpg,https://www.avicomm.co.ke/wp-content/uploads/2026/02/meta_quest_sk_1000209_01_3s_advanced_all_in_one_vr_1727373988_18476692.jpg
19692,Harman Kardon Enchant 1100 + Enchant Sub,Harman Kardon,,,The-Harman-Kardon-Enchant-1100-with-Subwoofer.jpg,The-Harman-Kardon-Enchant-1100-with-Subwoofer,jpg,https://wsrv.nl/?url=https%3A%2F%2Fwww.avicomm.co.ke%2Fwp-content%2Fuploads%2F2026%2F02%2FThe-Harman-Kardon-Enchant-1100-with-Subwoofer.jpg&w=768&fit=contain&trim=10&output=png,KShs,159799,instock,,Bluetooth speakers,"Harman Kardon Enchant 1100 The Harman Kardon Enchant 1100 with Subwoofer is a premium soundbar system engineered to bring room-filling surround sound without the complexity of multiple speakers. Featuring MultiBeam technology and Automatic MultiBeam Calibration (AMC), it delivers a true surround sound experience that adapts perfectly to your room layout, ensuring optimized performance wherever you place it. The system includes a powerful wireless subwoofer that adds deep, punchy bass, enhancing the impact of movies, music and games. Together, the soundbar and subwoofer create an immersive audio experience with crystal-clear dialogue, rich mids and cinematic low frequencies. With HDMI, Optical, Bluetooth, Wi-Fi and Chromecast built-in, the Enchant 1100 offers seamless connectivity for streaming your favorite content from smartphones, tablets or smart TVs. It also supports multiroom functionality, allowing you to link it with other Harman Kardon speakers for a whole-home audio setup. Designed with elegance and premium finishes, the Enchant 1100 not only elevates your sound but also complements modern interiors. Perfect for home theaters and music lovers, it combines powerful performance, smart features and stunning design into one complete entertainment system.",,,,,,,,https://www.avicomm.co.ke/wp-content/uploads/2026/02/The-Harman-Kardon-Enchant-1100-with-Subwoofer.jpg,https://www.avicomm.co.ke/wp-content/uploads/2026/02/The-Harman-Kardon-Enchant-1100-with-Subwoofer-768x617.jpg,
