ID,Name,Brand,Color,Variants,image_name,ImageName,ImageExt,ImageWsrv,Currency,Price,StockStatus,StockQuantity,Categories,Description,spec1,spec2,spec3,spec4,spec5,spec6,spec7,Image1,Image2,Image3,Image4
7411,Ahmed Al Maghribi Blu Oud,,,Volume: 100ML,Blue-Oud.webp,Blue-Oud,webp,https://wsrv.nl/?url=https%3A%2F%2Fmiddleeasternscents.co.ke%2Fwp-content%2Fuploads%2F2026%2F03%2FBlue-Oud.webp&w=768&fit=contain&trim=10&output=png,KShs,320000,instock,,"Fragrance, Male, Unisex","Top notes are Leather, Bergamot and Cypress Middle notes are Incense, Geranium and Violet Leaf Base notes are Agarwood, Oud, Guaiac Wood, Patchouli and Musk.",Volume: 100ML,,,,,,,https://middleeasternscents.co.ke/wp-content/uploads/2026/03/Blue-Oud.webp,https://middleeasternscents.co.ke/wp-content/uploads/2026/03/b.webp,https://middleeasternscents.co.ke/wp-content/uploads/2026/03/b-768x872.webp,https://middleeasternscents.co.ke/wp-content/uploads/2026/03/s-l1600-3.webp
7407,Dalal,,,,lattafa-dalal-perfume-bottle-gold-design.webp,lattafa-dalal-perfume-bottle-gold-design,webp,https://wsrv.nl/?url=https%3A%2F%2Fmiddleeasternscents.co.ke%2Fwp-content%2Fuploads%2F2026%2F03%2Flattafa-dalal-perfume-bottle-gold-design-768x768.webp&w=768&fit=contain&trim=10&output=png,KShs,340000,instock,,Fragrance,"Top notes: Apple and Mandarin. Middle notes: Jasmine, Ylang-Ylang and Orange. Base notes: Vanilla, Musk and Oakmoss. Dalal by Lattafa is a comforting gourmand-floral fragrance that blends fruity sweetness with creamy warmth and delicate florals. It opens with a juicy, inviting mix of apple and mandarin, delivering a bright yet smooth freshness that feels instantly uplifting and familiar. This luminous introduction creates a gentle sweetness that draws you in without overpowering the senses. At the heart, jasmine, ylang-ylang, and orange blossom unfold into a soft floral bouquet—elegant, slightly creamy, and subtly exotic. The fragrance settles into a warm base of vanilla, musk, and oakmoss, leaving a smooth, lightly powdery trail with a touch of mossy depth. Dalal leans feminine, cozy, and effortlessly charming—a perfect everyday scent for those who love sweet fragrances that feel comforting, graceful, and timeless.",Top notes: Apple and Mandarin.,"Middle notes: Jasmine, Ylang-Ylang and Orange.","Base notes: Vanilla, Musk and Oakmoss.",Concentration: Eau de Parfum,Olfactive family: Floral Sweet,Gender: Women,Brand: Lattafa,https://middleeasternscents.co.ke/wp-content/uploads/2026/03/lattafa-dalal-perfume-bottle-gold-design.webp,https://middleeasternscents.co.ke/wp-content/uploads/2026/03/lattafa-dalal-perfume-bottle-gold-design-768x768.webp,https://middleeasternscents.co.ke/wp-content/uploads/2026/03/lattafa-dalal-fragrance-floral-citrus-background.webp,https://middleeasternscents.co.ke/wp-content/uploads/2026/03/lattafa-dalal-fragrance-floral-citrus-background-768x768.webp
7364,Candy Apple,,,Volume: 50ml,Candy-Apple-Perfume-50ml-EDP-Tubbees-180837030.webp,Candy-Apple-Perfume-50ml-EDP-Tubbees-180837030,webp,https://wsrv.nl/?url=https%3A%2F%2Fmiddleeasternscents.co.ke%2Fwp-content%2Fuploads%2F2026%2F03%2FCandy-Apple-Perfume-50ml-EDP-Tubbees-180837030.webp&w=768&fit=contain&trim=10&output=png,KShs,140000,instock,,Fragrance,"Top Notes: Red Berries, Apple, Bergamot Middle Notes: Orange Blossom, Jasmine Base Notes: Sandalwood, Musk, Caramel, Vanilla","Top Notes: Red Berries, Apple, Bergamot","Middle Notes: Orange Blossom, Jasmine","Base Notes: Sandalwood, Musk, Caramel, Vanilla",Volume: 50ml,,,,https://middleeasternscents.co.ke/wp-content/uploads/2026/03/Candy-Apple-Perfume-50ml-EDP-Tubbees-180837030.webp,https://middleeasternscents.co.ke/wp-content/uploads/2026/03/Candy-Apple-Perfume-50ml-EDP-Tubbees-2.webp,https://middleeasternscents.co.ke/wp-content/uploads/2026/03/Candy-Apple-Perfume-50ml-EDP-Tubbees-180836723.webp,
7361,Blueberry Sorbet,,,,Blueberry-Sorbet-Perfume-50ml-EDP-Tubbee.webp,Blueberry-Sorbet-Perfume-50ml-EDP-Tubbee,webp,https://wsrv.nl/?url=https%3A%2F%2Fmiddleeasternscents.co.ke%2Fwp-content%2Fuploads%2F2026%2F03%2FBlueberry-Sorbet-Perfume-50ml-EDP-Tubbee.webp&w=768&fit=contain&trim=10&output=png,KShs,140000,instock,,Fragrance,"Top Notes: Blueberry, Lemon Peel, Orange Accord Middle Notes: Cherry, Rose, Cherry Blossom Base Notes: Musk, Amber, Cedarwood","Top Notes: Blueberry, Lemon Peel, Orange Accord","Middle Notes: Cherry, Rose, Cherry Blossom",,,,,,https://middleeasternscents.co.ke/wp-content/uploads/2026/03/Blueberry-Sorbet-Perfume-50ml-EDP-Tubbee.webp,https://middleeasternscents.co.ke/wp-content/uploads/2026/03/Blueberry-Sorbet-Perfume-50ml-EDP-Tubbees.webp,,
7359,Berry Explosion,,,Volume: 50ml,Berry-Explosion-Perfume-50ml-EDP-Tubbees-180835463.webp,Berry-Explosion-Perfume-50ml-EDP-Tubbees-180835463,webp,https://wsrv.nl/?url=https%3A%2F%2Fmiddleeasternscents.co.ke%2Fwp-content%2Fuploads%2F2026%2F03%2FBerry-Explosion-Perfume-50ml-EDP-Tubbees-180835463.webp&w=768&fit=contain&trim=10&output=png,KShs,140000,instock,,Fragrance,"Top Notes: Raspberries, Strawberry Purée, Blackcurrant Middle Notes: Rose, Blueberry Syrup,Violet Base Notes: Benzoin, Musk, Woody Notes","Top Notes: Raspberries, Strawberry Purée, Blackcurrant","Middle Notes: Rose, Blueberry Syrup,Violet","Base Notes: Benzoin, Musk, Woody Notes",Volume: 50ml,,,,https://middleeasternscents.co.ke/wp-content/uploads/2026/03/Berry-Explosion-Perfume-50ml-EDP-Tubbees-180835463.webp,,,
7339,Vanilla Voyage 25ml,,,Volume: 25ml,Bundle_Vanilla_Voyage_Milky_Way_by_Maison_Asrar_unisex_perfume.webp,Bundle_Vanilla_Voyage_Milky_Way_by_Maison_Asrar_unisex_perfume,webp,https://wsrv.nl/?url=https%3A%2F%2Fmiddleeasternscents.co.ke%2Fwp-content%2Fuploads%2F2026%2F03%2FBundle_Vanilla_Voyage_Milky_Way_by_Maison_Asrar_unisex_perfume-768x768.webp&w=768&fit=contain&trim=10&output=png,KShs,150000,instock,,"Fragrance, Unisex","Top: Caramel, Buttery Middle: Jasmine, Tonka Bean, Honey Base: Vanilla, Musk, Ambery A sweet escape. A warm embrace. A journey in every spray. Embark on a deliciously smooth journey with Vanilla Voyage, a fragrance crafted for those who love warm sweetness wrapped in elegant depth. This unisex scent blends gourmand indulgence with soft florals and sensual woods, creating an irresistible trail that lingers beautifully.","Top: Caramel, Buttery","Middle: Jasmine, Tonka Bean, Honey","Base: Vanilla, Musk, Ambery",Volume: 25ml,,,,https://middleeasternscents.co.ke/wp-content/uploads/2026/03/Bundle_Vanilla_Voyage_Milky_Way_by_Maison_Asrar_unisex_perfume.webp,https://middleeasternscents.co.ke/wp-content/uploads/2026/03/Bundle_Vanilla_Voyage_Milky_Way_by_Maison_Asrar_unisex_perfume-768x768.webp,,
7170,Musamam Black Intense,,,,LattafaMusamamBlackIntenseEDP100ml.webp,LattafaMusamamBlackIntenseEDP100ml,webp,https://wsrv.nl/?url=https%3A%2F%2Fmiddleeasternscents.co.ke%2Fwp-content%2Fuploads%2F2026%2F03%2FLattafaMusamamBlackIntenseEDP100ml-768x768.webp&w=768&fit=contain&trim=10&output=png,KShs,450000,instock,,"Fragrance, Unisex",Fragrance Notes Top Notes: Lavender • Nutmeg • Bergamot • Sage Middle Notes: Geranium • Rosyfolia • Mahonial • Cedarwood Base Notes: Maple Wood • Patchouli • Tonka Bean • Cocoapulse • Ambrofix,,,,,,,,https://middleeasternscents.co.ke/wp-content/uploads/2026/03/LattafaMusamamBlackIntenseEDP100ml.webp,https://middleeasternscents.co.ke/wp-content/uploads/2026/03/LattafaMusamamBlackIntenseEDP100ml-768x768.webp,https://middleeasternscents.co.ke/wp-content/uploads/2026/03/LattafaMusamamBlackIntenseEDP100mlS.webp,https://middleeasternscents.co.ke/wp-content/uploads/2026/03/LattafaMusamamBlackIntenseEDP100mlS-768x768.webp
7155,Angham Second Song,,,,m.webp,m,webp,https://wsrv.nl/?url=https%3A%2F%2Fmiddleeasternscents.co.ke%2Fwp-content%2Fuploads%2F2026%2F03%2Fm-768x768.webp&w=768&fit=contain&trim=10&output=png,KShs,420000,instock,,"Female, Fragrance","A sweet floral melody that unfolds note by note. Bright bergamot and juicy pear open the scent with a smooth, addictive glow. At the heart, luminous orange blossom and peony bloom, softened by a delicious touch of praline. The dry down lingers clean and modern, with creamy vanilla, tonka bean, ambroxan, and a whisper of musk. Top Notes: Bergamot, Pear Middle Notes: Orange Blossom, Peony, Praline Base Notes: Vanilla, Tonka Bean, Ambroxan, Musk",,,,,,,,https://middleeasternscents.co.ke/wp-content/uploads/2026/03/m.webp,https://middleeasternscents.co.ke/wp-content/uploads/2026/03/m-768x768.webp,https://middleeasternscents.co.ke/wp-content/uploads/2026/03/second.webp,https://middleeasternscents.co.ke/wp-content/uploads/2026/03/second-768x768.webp
7064,Angham Body Spray,,,Volume: 200ml,angham-body-spray.webp,angham-body-spray,webp,https://wsrv.nl/?url=https%3A%2F%2Fmiddleeasternscents.co.ke%2Fwp-content%2Fuploads%2F2026%2F02%2Fangham-body-spray-768x768.webp&w=768&fit=contain&trim=10&output=png,KShs,40000,instock,,"Female, Fragrance","Top Notes - Mandarin, Ginger, Pink Pepper Heart Notes - Praline, Lavender, Cacao Base Notes - Musk, Amber, Vanilla This fragrance opens with a vibrant trio of mandarin, ginger, and pink pepper, creating a zesty and spicy introduction that immediately awakens the senses. At the heart, the sweetness of praline blends seamlessly with calming lavender and rich cacao, adding a touch of warmth and indulgence. The base is a comforting blend of musk, amber, and vanilla, wrapping the scent in a soft, sensual finish. Perfect for those who love a playful yet refined scent with a balance of spice, sweetness, and warmth.","Top Notes -: Mandarin, Ginger, Pink Pepper","Heart Notes -: Praline, Lavender, Cacao","Base Notes -: Musk, Amber, Vanilla",Volume: 200ml,,,,https://middleeasternscents.co.ke/wp-content/uploads/2026/02/angham-body-spray.webp,https://middleeasternscents.co.ke/wp-content/uploads/2026/02/angham-body-spray-768x768.webp,https://middleeasternscents.co.ke/wp-content/uploads/2026/02/angham-b.webp,https://middleeasternscents.co.ke/wp-content/uploads/2026/02/angham-b-768x768.webp
7054,Safari Breeze,,,"Scent: Fresh, Fruity",safari-breeze.webp,safari-breeze,webp,https://wsrv.nl/?url=https%3A%2F%2Fmiddleeasternscents.co.ke%2Fwp-content%2Fuploads%2F2026%2F02%2Fsafari-breeze-768x768.webp&w=768&fit=contain&trim=10&output=png,KShs,380000,instock,,"Fragrance, Male, Unisex","Top Notes: Blackcurrant, Coconut, Grapefruit Heart Notes: Spearmint, Jasmine Base Notes: Vetiver, Amber, Oakmoss","Top Notes: Blackcurrant, Coconut, Grapefruit","Heart Notes: Spearmint, Jasmine","Base Notes: Vetiver, Amber, Oakmoss","Scent: Fresh, Fruity",,,,https://middleeasternscents.co.ke/wp-content/uploads/2026/02/safari-breeze.webp,https://middleeasternscents.co.ke/wp-content/uploads/2026/02/safari-breeze-768x768.webp,https://middleeasternscents.co.ke/wp-content/uploads/2026/02/Safari_Breeze.webp,https://middleeasternscents.co.ke/wp-content/uploads/2026/02/Safari_Breeze-768x1152.webp
